INI20030780	INI20030780_baseline	INI20030780_LIVER
1.28426163555474	-0.111781	-0.119421
1.49132587529424	0.00423934	0.00529189
0.743840294875463	-0.156024	-0.16791
1.2110477179979	-0.0135236	-0.0154822
0.838545383249302	-0.033594	-0.0324087
1.52735980139849	-0.00866924	0.0101986
0.792992515529662	-0.101442	-0.124467
0.966223100622364	-0.104747	-0.0947245
1.65850651179954	-0.138651	-0.139557
0.155292884406035	-0.037633	-0.0409723
0.961646433594952	-0.073957	-0.0795245
1.77376520585578	0.0369244	0.0295797
1.31038539793457	-0.0500338	-0.0484933
1.48472301208429	0.0873063	0.0746865
1.10686276012299	-0.0681459	-0.0856183
1.22612560896707	-0.241641	-0.219278
0.839841559710749	-0.000361088	-0.0117338
1.63769000767495	0.0311641	-0.0244955
1.35246842666985	0.0292351	0.0488549
1.15341608070878	-0.0804917	-0.104191
1.29143408009593	-0.0155715	0.00963036
0.629674757604372	-0.194641	-0.19442
0.838545383249302	-0.166778	-0.164231
0.687282061107547	-0.0171281	-0.061363
1.0170406349743	-0.126251	-0.142732
0.948951514113704	-0.0537296	-0.100392
1.5208252540775	-0.0511926	-0.0576298
1.5177611238622	0.057818	0.0465305
1.13236938546624	-0.11913	-0.168998
1.09326468234151	0.018736	-0.00666018
0.967744013463071	-0.135238	-0.11917
1.46533656845984	0.110557	0.0849684
0.908258560176891	0.0273388	0.0244774
1.1365501280085	-0.0662754	-0.0803322
1.37295579668071	-0.0524277	-0.0672785
1.2131307421107	0.0683403	0.0576103
1.53406760540932	-0.116837	-0.134658
1.20660092673221	-0.125451	-0.13078
0.531804030151182	0.0556196	0.0491191
1.13719177063558	-0.149191	-0.154889
1.11317243999944	-0.126528	-0.162923
1.41244931859674	-0.110032	-0.14653
0.707050085728937	-0.0843073	-0.107688
1.43698747543541	0.0251887	0.0332509
0.845868267577609	-0.0311807	-0.0762057
1.10525683138678	-0.154608	-0.104893
1.23256026117785	-0.0242693	-0.0560925
0.99139820436096	-0.020868	-0.0257275
1.09794539968041	-0.0571412	-0.0632532
0.805582609889733	-3.22972e-05	0.0163415
1.33289358439278	-0.036013	-0.033602
1.2977363341381	-0.0191095	-0.0408794
1.16346326098773	-0.0324131	-0.000556832
1.19875923727305	-0.0198197	-0.0374819
1.64035501506882	0.174637	0.141653
1.11939482785064	0.0689473	0.0854814
1.06541627549874	0.0515938	0.0351724
1.13075674199468	-0.0556726	-0.0715462
1.27312566301425	-0.000136838	-0.0255071
0.993992239538007	-0.0531113	-0.0686439
0.872965607135781	-0.208464	-0.213124
1.13815346328864	0.0805809	0.0646819
1.2859213869731	-0.0608373	-0.0576766
1.16876004857019	-0.0790898	-0.0835377
1.44503485614249	0.0443421	0.0206007
1.29855544681188	-0.0574863	-0.0835786
1.00795792039998	-0.0775971	-0.0410543
1.22671229129543	0.0536919	0.0189238
1.23051735954805	0.0895461	0.077673
1.10393145014571	-0.0153046	-0.0471435
1.12525421961453	-0.130147	-0.155358
1.37092688398877	-0.0618788	-0.0418929
0.661656513468575	-0.0902389	-0.0906281
0.700619195398646	-0.0608236	-0.0837653
0.810930216216329	-0.00228254	-0.00975398
1.11284387091483	0.0678919	0.0442627
1.48500783405592	0.0303224	0.0556905
1.49872979044968	-0.00424489	-0.0237109
0.75659135311648	-0.0285267	-0.0309056
1.06367571878721	-0.00893714	0.00818498
1.10558790240454	0.0303687	-0.00375707
1.35583515363518	0.017848	0.0249055
1.61031472090763	0.048738	0.0247987
1.43936108205658	0.0300118	0.00120336
1.0064969997603	-0.218239	-0.236371
1.07158361628019	-0.132152	-0.128164
1.40548047000494	0.0339634	0.00235701
1.12030511327937	-0.023765	-0.0315004
0.937660757610347	-0.0100542	0.00939862
1.27914537250343	-0.0854796	-0.0716631
1.17062282464438	0.159201	0.159536
1.18692836971668	-0.117024	-0.129482
0.981377348394041	0.0783649	0.0526473
1.55475321661503	-0.0280022	-0.0303914
1.38203530419951	0.0401979	0.0822937
0.93491619599732	-0.0760542	-0.0905714
0.926637023928299	0.0684644	0.0520937
0.875051983857558	-0.0243933	-0.032892
1.31274853412685	-0.0065344	-0.0375008
1.23750428753473	0.0651343	0.0234653
1.10127540608759	0.0221666	-0.00728317
1.66770682055808	0.112877	0.10736
1.3299885249088	0.0411222	-7.49055e-06
1.04872151905464	-0.0319218	-0.0584866
0.551583616238158	0.0417388	0.0158329
1.37244895429784	0.0243121	0.0402633
1.25533109660108	-0.0690733	-0.0717381
1.37396871142925	-0.0194048	-0.0113511
1.16658241510738	-0.0237966	-0.0443814
1.42815581521481	-0.0637242	-0.0467573
1.52801091373837	0.000966075	-0.0249596
1.36673293280307	-0.0139673	-0.0436882
1.19604143399966	-0.0684486	-0.076245
1.69486421319111	0.0835295	0.0844799
1.48736939139917	-0.0642662	-0.0405908
1.21134555865535	-0.0406825	-0.0443831
1.19392246847243	-0.0263072	-0.0329773
1.38679423616154	-0.0794276	-0.0714037
1.21134555865535	-0.0336714	-0.0523265
1.50806941804581	0.0986474	0.093246
1.4247936602705	-0.0264122	-0.00141387
1.99601225807271	-0.0357857	-0.0498997
1.13719177063558	0.050118	0.0332223
1.64054890745915	0.0970323	0.138318
1.29910114941751	0.0555658	0.0206555
1.40781120458214	-0.00849195	-0.0240397
0.994362267294311	-0.114753	-0.090019
1.29198368164865	-0.000935634	-0.00132741
1.14013579145986	-0.100782	-0.109562
0.690644050341827	-0.0227646	-0.0721235
1.34729362377016	-0.0209141	-0.0357256
1.24501877376194	0.0106026	0.0125562
1.33131005278713	0.0886534	0.0695128
1.14135244234427	-0.111053	-0.134527
1.62797842034984	-0.0935287	-0.0724028
1.09125193426182	0.0470876	0.0588889
