INI50030700	INI50030700_baseline	INI50030700_BLOOD	INI50030700_LIVER	INI50030700_LUNG	INI50030700_KIDNEY	INI50030700_all
4.66506273984826	0.0258554	0.0211561	-0.00173077	0.00822467	0.0112629	0.0467629
4.67376940677747	-0.105371	-0.110503	-0.125869	-0.105015	-0.118861	-0.0539197
4.65181704893799	-0.141595	-0.130825	-0.163418	-0.178055	-0.172771	-0.0970746
4.65884575214793	-0.0685329	-0.0498727	-0.0759788	-0.0596643	-0.0647034	-0.0330926
4.254360867944	-0.126413	-0.142793	-0.157855	-0.162618	-0.128831	-0.0883309
4.47403619247115	-0.0989845	-0.0997114	-0.124836	-0.120877	-0.116256	-0.0743554
4.43130589353672	-0.175309	-0.167706	-0.190664	-0.18008	-0.176969	-0.128224
4.74713429442499	-0.104943	-0.0868121	-0.115456	-0.121357	-0.106922	-0.0751035
4.68153024590793	-0.152064	-0.129823	-0.151567	-0.149332	-0.13622	-0.115337
4.59026749164705	-0.0512906	-0.0643341	-0.0661653	-0.0731422	-0.055122	-0.023643
4.68693859867333	-0.123555	-0.110603	-0.126005	-0.112505	-0.112905	-0.104362
4.35527310211613	-0.0717324	-0.0784023	-0.0900606	-0.095333	-0.0756005	-0.03968
4.61268893394407	-0.147038	-0.157336	-0.189729	-0.163231	-0.162456	-0.130693
4.85622661796744	-0.0447351	-0.0397565	-0.0545568	-0.0580232	-0.0546921	-0.00683447
4.18422307824273	-0.103112	-0.110864	-0.114454	-0.128347	-0.141225	-0.0737542
4.81059172289513	-0.101515	-0.116579	-0.11295	-0.136446	-0.115035	-0.0741314
4.40756166529265	-0.0340736	-0.0271508	-0.0535368	-0.0491427	-0.0378632	-0.00546776
4.297008571888	-0.118692	-0.119829	-0.128809	-0.144113	-0.120676	-0.0801402
4.53967597224354	-0.090492	-0.0800974	-0.0992009	-0.105295	-0.0900612	-0.0500302
4.70791710019793	-0.0811742	-0.0826715	-0.0991398	-0.125062	-0.109634	-0.0505018
4.72255959209038	-0.00931289	-0.0213177	-0.030622	-0.0283788	-0.0156553	0.0132779
4.63667972025728	-0.066157	-0.0645768	-0.0839397	-0.0976647	-0.0838119	-0.0584475
4.54306039616115	-0.0922484	-0.104978	-0.108143	-0.142676	-0.101523	-0.0711359
4.66430281506767	0.0138996	0.00741176	0.0056379	0.00355927	-0.00795712	0.0334821
4.52821509166111	-0.0232104	-0.0108508	-0.0454096	-0.0616098	-0.0322074	0.000691324
4.57915308850144	-0.132258	-0.123947	-0.16211	-0.137935	-0.12881	-0.0956908
4.55055164569818	-0.193193	-0.195151	-0.249565	-0.203113	-0.215674	-0.148605
4.74489268366466	-0.0358657	-0.0411949	-0.0405434	-0.057547	-0.0360717	-0.00584792
4.12714204891302	-0.0679289	-0.0827985	-0.0778012	-0.105898	-0.0910914	-0.0377887
4.51707320101704	-0.0780207	-0.0988125	-0.0944997	-0.13587	-0.0895341	-0.0632005
4.42888772228884	-0.0992659	-0.0847507	-0.0966365	-0.113878	-0.0895929	-0.047873
4.61088667732394	-0.061898	-0.0735037	-0.0617472	-0.0783614	-0.0770345	-0.0275649
4.59578145633372	0.00364954	-0.00252295	-0.0322109	-0.0110378	-0.0118812	0.0113777
4.80792352484681	-0.00892051	-0.00915396	-0.0321255	-0.0284571	0.00607221	0.0440639
4.68153834107432	-0.0650405	-0.080222	-0.0891415	-0.0891826	-0.0865641	-0.027214
4.63607035464038	-0.150699	-0.14616	-0.153116	-0.169393	-0.15051	-0.110879
4.6778540798294	-0.116928	-0.1057	-0.13907	-0.122668	-0.120574	-0.0658349
4.68340954830558	-0.0542408	-0.050466	-0.0387484	-0.0715471	-0.0423578	-0.0141197
4.53592326232189	-0.0964788	-0.104054	-0.104806	-0.119802	-0.110977	-0.0541647
4.29919712009218	-0.0771189	-0.0838577	-0.0730627	-0.0851375	-0.0496694	-0.0397431
4.42169395500333	-0.15845	-0.156594	-0.153202	-0.169972	-0.171818	-0.102843
4.34230060376256	-0.0877808	-0.0905055	-0.115355	-0.101825	-0.0823978	-0.0651884
4.66257890864816	-0.0707361	-0.0809085	-0.0706545	-0.0740781	-0.0739459	-0.0542127
4.71417084435	-0.107265	-0.0990748	-0.111864	-0.128864	-0.0914724	-0.0585615
4.63213454989445	-0.0754562	-0.0597854	-0.0920826	-0.0874265	-0.0722707	-0.0458743
4.37518378800428	-0.128058	-0.143611	-0.128808	-0.14663	-0.137821	-0.105842
4.66470990268432	-0.11155	-0.113501	-0.102903	-0.105585	-0.109417	-0.0746266
4.6988867199503	-0.02231	-0.0514363	-0.0553978	-0.0564343	-0.0486666	0.00218478
4.73447233145431	-0.0921601	-0.094979	-0.108336	-0.113321	-0.101033	-0.0694876
4.7771766623773	-0.0599375	-0.0632637	-0.0669178	-0.0698272	-0.053831	-0.033297
4.5038581407902	-0.171206	-0.17737	-0.191237	-0.191869	-0.192929	-0.145792
4.29832998686751	-0.137806	-0.132073	-0.193448	-0.172667	-0.144962	-0.111899
4.48654323146972	-0.0786345	-0.0925958	-0.114078	-0.103882	-0.0848941	-0.0509669
4.59341553434817	-0.117386	-0.121951	-0.0964037	-0.131553	-0.101086	-0.0970871
4.53761074755222	-0.0471164	-0.0420466	-0.0585098	-0.0594749	-0.06807	-0.0276898
4.43459840610637	-0.000166637	0.00660956	-0.0177992	-0.0196087	-0.0228474	0.0323817
4.66046089642629	-0.0942294	-0.100864	-0.100339	-0.102847	-0.107118	-0.0551046
4.22476055736249	-0.0978076	-0.0967981	-0.103196	-0.0974223	-0.100741	-0.0644376
4.25457292563179	-0.127052	-0.131962	-0.15408	-0.14692	-0.133718	-0.103336
4.68714608280615	-0.0768513	-0.0688021	-0.0733411	-0.101437	-0.0918915	-0.0271059
4.445319228905	-0.030214	-0.0342583	-0.0450887	-0.0368914	-0.0341941	0.0164606
4.68463510294416	-0.0436973	-0.0595578	-0.0681942	-0.0774118	-0.0810865	-0.0370618
