INI1003063	INI1003063_baseline	INI1003063_LUNG
0.719123505976096	-0.0248755	-0.0328153
0.819277108433735	-0.00955825	-0.0182803
0.776435045317221	0.00747136	-0.0123788
0.811338806933227	0.0112137	-0.0143851
0.773493975903614	-0.0130115	-0.0278114
0.9	-0.0148228	-0.0287301
0.887387387387387	-0.00646891	-0.0232599
0.86374695863747	-0.000341488	-0.0163095
0.785087719298246	0.00247634	-0.00788722
0.852193995381062	-0.0278037	-0.0386739
0.839130434782609	-0.0221354	-0.0193239
0.772357723577236	-0.00591097	-0.0290353
0.804597701149425	-0.0278064	-0.0344812
0.728744939271255	0.00359376	-0.0114274
0.781990521327014	-0.0324774	-0.0410732
0.85609756097561	0.0151486	-0.00418847
0.751351351351351	-0.00669114	-0.0137117
0.760695614167801	-0.0271339	-0.0333187
0.800813008130081	-0.012576	-0.0220013
0.868715083798883	-0.00361111	-0.0199982
0.794023756174789	-0.00922687	-0.02423
0.76171875	0.0156477	0.00123241
0.757075471698113	-0.0395892	-0.0448724
0.804597701149425	-0.00885689	-0.0161392
0.827751196172249	0.0047949	-0.0141239
0.786534642465316	-0.0199801	-0.0359684
0.802197802197802	-0.000573196	-0.0172169
0.717647058823529	-0.00789225	-0.019001
0.798342541436464	-0.0281934	-0.0437709
0.540740740740741	9.88418e-05	-0.0186095
0.864181511056511	-0.0097922	-0.00705558
0.808290155440415	-0.00173612	-0.00697403
0.625471631580803	-0.0123982	-0.0165167
0.753424657534247	-0.0110918	-0.016729
0.733082706766917	0.0207753	0.00456505
0.831775700934579	-0.0251125	-0.0368476
0.755102040816326	2.05781e-05	-0.00655174
0.779141104294479	-0.0029969	-0.0170318
0.83879781420765	-0.0161671	-0.014091
0.792397660818713	-0.0130621	-0.0267489
0.67887323943662	-0.0139528	-0.0194111
0.850704225352113	-0.0119543	-0.0306528
0.828980099502488	-0.0103652	-0.0126694
0.769452449567723	-0.0280035	-0.0260133
0.758498034286326	-0.02116	-0.034538
0.309644670050761	-0.00950089	-0.0239943
0.657142857142857	-0.00883972	-0.0227015
0.843812418584455	0.00348226	-0.0149888
0.558521560574949	0.0104258	-0.0116055
0.728888888888889	-0.00281521	-0.0077667
0.696832579185521	-0.0111601	-0.0272695
0.791044776119403	-0.00275039	-0.018222
0.897222222222222	-0.0140438	-0.0177141
0.847328244274809	0.0178283	0.0100387
0.761523046092184	-0.00218244	-0.0241771
0.807889344262295	-0.0222712	-0.0348555
0.745945945945946	-0.0340515	-0.046288
0.741007194244604	-0.0223643	-0.0336204
0.736585365853659	-0.017965	-0.0361201
0.824267782426778	-0.0330892	-0.0471767
0.82348831300813	-0.018468	-0.0234298
0.876160990712074	-0.0130194	-0.0263813
0.774566473988439	-0.0148872	-0.0227752
0.695402298850575	-0.034798	-0.0471969
0.819391634980989	-0.0245222	-0.036021
0.79031339031339	-0.0115782	-0.0315017
0.803819621090332	-0.0113082	-0.0230807
0.807432432432433	-0.0533946	-0.0657391
0.818405031984971	0.00154725	-0.0100511
0.755000208689845	-0.034519	-0.0433322
0.833333333333333	0.00123119	-0.0262846
0.810927033492823	-0.0098897	-0.0332214
0.781931464174455	-0.0218103	-0.0245146
0.912844036697248	-0.0158142	-0.0209417
0.749063670411985	0.00031231	-0.0193594
0.791469194312796	0.0034811	-0.00759783
0.528497409326425	-0.00498308	-0.0170883
0.791277258566978	-0.0327306	-0.0450785
0.825746440203842	-0.0153641	-0.0277002
0.848958333333333	-0.0224293	-0.0353122
0.462068965517242	-0.0341449	-0.0544171
0.808888888888889	5.68162e-05	-0.0162107
0.798165137614679	0.0236888	0.00343237
0.727272727272727	-0.00940549	-0.021672
0.706382978723404	-0.00928444	-0.0110745
0.725	0.0123094	0.00545312
0.72	-0.0102884	-0.0319846
0.847715736040609	-0.0239871	-0.0200249
0.777027027027027	0.00261818	-0.0067477
0.738775510204082	-0.0170746	-0.0401932
0.72020725388601	-0.0143283	-0.0337884
0.788018433179724	0.00782967	-0.00215837
0.790697674418605	-0.0092219	-0.0162003
0.802499661292508	-0.0274358	-0.0362031
0.824503311258278	-0.0257363	-0.0354395
0.667440801457195	-0.0260772	-0.0479971
0.766081871345029	-0.0122325	-0.034334
0.840909090909091	-0.0139892	-0.0217452
0.658536585365854	-0.015254	-0.0340571
0.876146788990826	0.00599701	-0.0047974
0.991501416430595	-0.0312409	-0.0369042
0.709802022302022	0.00353714	-0.0151805
0.848484848484848	0.0102512	-0.00376427
0.788461538461539	-0.0209715	-0.0417883
0.799298978298158	-0.0139669	-0.0300654
0.843373493975904	-0.0039593	-0.0154852
0.702702702702703	-0.0114058	-0.0175385
0.857142857142857	-0.000421124	-0.0154586
0.745980707395498	0.00804581	-0.0123455
0.774723438121767	-0.0314281	-0.0424606
0.820833333333333	-0.00699565	-0.0226451
0.792656178341409	-0.00932914	-0.0207639
0.672	-0.00637104	-0.0242008
0.828220858895706	0.000458473	-0.00931148
0.790123456790123	0.000268452	-0.00396546
0.813492063492063	-0.00875992	-0.0202947
0.776536312849162	0.00745862	-0.00500469
0.727272727272727	-0.0366859	-0.0519581
0.76986301369863	-0.00763164	-0.0281684
0.805170647950116	-0.0146144	-0.0215539
0.76875	0.0142496	-0.0219184
0.876984126984127	-0.010176	-0.0195143
0.845394736842105	-0.0324573	-0.03613
0.797947487671598	-0.0121636	-0.0355953
0.785202863961814	-0.00551315	-0.0281375
0.801980198019802	-0.00925235	-0.0269795
0.797979797979798	-0.0131567	-0.0216089
0.815402370125396	-0.0261569	-0.0466157
0.534918276374443	-0.033913	-0.0370741
0.719405220367993	-0.0287507	-0.0441875
0.738170347003155	-0.0287677	-0.0363693
0.792517006802721	-0.0193334	-0.0400767
