INI50030700	INI50030700_baseline	INI50030700_KIDNEY
4.66506273984826	0.0467629	0.0112629
4.67376940677747	-0.0539197	-0.118861
4.65181704893799	-0.0970746	-0.172771
4.65884575214793	-0.0330926	-0.0647034
4.254360867944	-0.0883309	-0.128831
4.47403619247115	-0.0743554	-0.116256
4.43130589353672	-0.128224	-0.176969
4.74713429442499	-0.0751035	-0.106922
4.68153024590793	-0.115337	-0.13622
4.59026749164705	-0.023643	-0.055122
4.68693859867333	-0.104362	-0.112905
4.35527310211613	-0.03968	-0.0756005
4.61268893394407	-0.130693	-0.162456
4.85622661796744	-0.00683447	-0.0546921
4.18422307824273	-0.0737542	-0.141225
4.81059172289513	-0.0741314	-0.115035
4.40756166529265	-0.00546776	-0.0378632
4.297008571888	-0.0801402	-0.120676
4.53967597224354	-0.0500302	-0.0900612
4.70791710019793	-0.0505018	-0.109634
4.72255959209038	0.0132779	-0.0156553
4.63667972025728	-0.0584475	-0.0838119
4.54306039616115	-0.0711359	-0.101523
4.66430281506767	0.0334821	-0.00795712
4.52821509166111	0.000691324	-0.0322074
4.57915308850144	-0.0956908	-0.12881
4.55055164569818	-0.148605	-0.215674
4.74489268366466	-0.00584792	-0.0360717
4.12714204891302	-0.0377887	-0.0910914
4.51707320101704	-0.0632005	-0.0895341
4.42888772228884	-0.047873	-0.0895929
4.61088667732394	-0.0275649	-0.0770345
4.59578145633372	0.0113777	-0.0118812
4.80792352484681	0.0440639	0.00607221
4.68153834107432	-0.027214	-0.0865641
4.63607035464038	-0.110879	-0.15051
4.6778540798294	-0.0658349	-0.120574
4.68340954830558	-0.0141197	-0.0423578
4.53592326232189	-0.0541647	-0.110977
4.29919712009218	-0.0397431	-0.0496694
4.42169395500333	-0.102843	-0.171818
4.34230060376256	-0.0651884	-0.0823978
4.66257890864816	-0.0542127	-0.0739459
4.71417084435	-0.0585615	-0.0914724
4.63213454989445	-0.0458743	-0.0722707
4.37518378800428	-0.105842	-0.137821
4.66470990268432	-0.0746266	-0.109417
4.6988867199503	0.00218478	-0.0486666
4.73447233145431	-0.0694876	-0.101033
4.7771766623773	-0.033297	-0.053831
4.5038581407902	-0.145792	-0.192929
4.29832998686751	-0.111899	-0.144962
4.48654323146972	-0.0509669	-0.0848941
4.59341553434817	-0.0970871	-0.101086
4.53761074755222	-0.0276898	-0.06807
4.43459840610637	0.0323817	-0.0228474
4.66046089642629	-0.0551046	-0.107118
4.22476055736249	-0.0644376	-0.100741
4.25457292563179	-0.103336	-0.133718
4.68714608280615	-0.0271059	-0.0918915
4.445319228905	0.0164606	-0.0341941
4.68463510294416	-0.0370618	-0.0810865
4.51758813655882	-0.0130448	-0.0619284
4.64087928494165	-0.044802	-0.0799596
4.19543079322505	-0.0958558	-0.125181
4.60779039210741	-0.139364	-0.15812
4.44511635914647	-0.13125	-0.162267
