INI30120	INI30120_baseline	INI30120_BLOOD	INI30120_LIVER	INI30120_LUNG	INI30120_KIDNEY	INI30120_all
2.4	0.00731366	-0.0197735	-0.120178	0.0633661	-0.120886	0.0824258
2.55	0.0708025	0.088671	-0.0196293	0.0940665	-0.0184915	0.144835
2.35	-0.141006	-0.109712	-0.297082	-0.180088	-0.243029	-0.0654774
1.88	-0.131953	-0.09816	-0.220558	-0.100326	-0.126981	-0.0287919
2.45	0.0495261	0.0101875	-0.120353	0.110945	0.00911129	0.130151
2.02	0.0626229	0.0209268	-0.194307	0.0796331	-0.101324	0.105062
1.67	-0.220038	-0.124389	-0.296608	-0.0555996	-0.155769	-0.0569694
1.09	-0.121724	-0.138956	-0.225191	-0.143184	-0.171453	-0.0512546
1.54	-0.0461866	-0.0225033	-0.141128	-0.016214	-0.133542	0.0549085
2.0	-0.0795683	-0.0654279	-0.197349	0.0275167	-0.106356	-0.00743426
2.3	0.145262	0.119807	-0.0228346	0.187843	0.109619	0.298134
2.4	-0.120761	-0.0632787	-0.249609	-0.0381811	-0.086079	-0.0114095
2.15	-0.0345434	-0.0295707	-0.143731	0.0928675	-0.0667907	0.0689689
1.04	0.0332787	0.0232753	-0.0773579	0.0779816	0.084375	0.123109
0.98	-0.0406654	-0.0135467	-0.193592	-0.0592356	-0.0599159	0.0649577
2.08	-0.242094	-0.176893	-0.396003	-0.25656	-0.356739	-0.113217
2.14	-0.261858	-0.230088	-0.426398	-0.332825	-0.322109	-0.232323
1.99	-0.0889678	-0.0421359	-0.24265	-0.0419482	-0.0518219	0.0462676
2.31	-0.0395361	-0.0255839	-0.234797	-0.0614927	-0.104358	0.105475
2.6	-0.214221	-0.216213	-0.368443	-0.129085	-0.239123	-0.224971
3.05	-0.250762	-0.193694	-0.437519	-0.181897	-0.285838	-0.119242
2.47	0.0491412	0.045104	-0.137601	0.106383	0.0536668	0.104878
2.4	-0.0536739	0.00455481	-0.151089	0.00614614	-0.0936742	0.0663999
2.48	0.0514472	0.08381	-0.154002	0.00033044	-0.0556213	0.133837
1.77	0.0522695	0.0791195	-0.0465703	0.0333221	-0.0569376	0.104178
1.44	-0.26299	-0.128656	-0.242315	-0.118233	-0.240465	-0.0839403
2.9	-0.109987	-0.130128	-0.285926	-0.128164	-0.09672	-0.0811933
1.91	0.0373486	0.0284476	-0.0416412	0.159126	0.0632696	0.183117
1.93	-0.254782	-0.12073	-0.322583	-0.175986	-0.197249	-0.0820472
1.71	-0.208959	-0.166721	-0.336918	-0.168119	-0.214209	-0.0985675
1.83	-0.148932	-0.180745	-0.328373	-0.063187	-0.112583	-0.0257923
1.98	-0.0290984	0.0321766	-0.00952411	0.156216	0.0544111	0.0366221
2.17	-0.294249	-0.291543	-0.438849	-0.287587	-0.415699	-0.195372
2.5	-0.110103	-0.0855572	-0.321515	-0.173692	-0.160691	-0.0105936
2.84	-0.069795	0.0109764	-0.326398	-0.00559121	-0.142296	-0.0205765
1.3	-0.0618144	0.0390006	-0.219284	-0.0602507	-0.158974	0.0601498
1.73	-0.0746778	0.0160354	-0.203575	0.018271	-0.11722	-0.088257
3.02	-0.265005	-0.227611	-0.460785	-0.260934	-0.313483	-0.113594
1.72	-0.181248	-0.158023	-0.313715	-0.0787406	-0.0538601	-0.13732
1.1	-0.0882781	-0.0951683	-0.339945	-0.0839744	-0.167737	0.0436599
1.67	-0.179504	-0.128447	-0.299126	-0.155332	-0.290174	-0.102313
1.71	-0.221358	-0.226271	-0.373604	-0.110201	-0.246899	-0.151654
1.42	-0.188206	-0.176154	-0.353197	-0.218395	-0.211542	-0.107419
2.08	-0.0748863	-0.120808	-0.188566	-0.0185053	-0.118581	0.0590908
1.81	0.0473878	0.0385417	-0.119353	0.0583192	-0.00882197	0.147574
3.09	-0.00974172	-0.0324352	-0.11891	0.0700076	-0.0777385	0.100916
2.53	-0.106923	-0.0665041	-0.261965	0.00309488	-0.154743	-0.105307
1.85	-0.0860146	-0.0268411	-0.168216	-0.00534807	-0.0748696	0.0207501
2.31	-0.152603	-0.167755	-0.303227	-0.0277415	-0.12638	-0.112862
2.3	-0.0266187	0.0316108	-0.18209	0.0196191	-0.0417206	0.06219
1.82	-0.193986	-0.162572	-0.335636	-0.202702	-0.286424	-0.152834
1.82	-0.249065	-0.16903	-0.338576	-0.147578	-0.162508	-0.113199
1.35	-0.135607	-0.0668815	-0.235267	0.00720705	-0.0408864	0.0343624
2.43	-0.167641	-0.123524	-0.312062	-0.144884	-0.220547	-0.108078
1.83	-0.193074	-0.179823	-0.41441	-0.161538	-0.330841	-0.119139
3.88	-0.0764281	-0.0297657	-0.217838	-0.0290102	-0.0993914	0.0621568
2.52	-0.0374689	-0.0329968	-0.252257	-0.0236778	-0.0398502	0.0999363
1.9	-0.0095188	0.0488269	-0.159081	0.0993416	-0.00312916	0.135518
2.58	-0.0751465	-0.087171	-0.260987	-0.0246615	-0.0837885	-0.0135381
2.44	-0.264875	-0.164936	-0.395221	-0.196912	-0.245172	-0.14055
1.66	-0.216442	-0.149491	-0.285229	-0.0951802	-0.157942	-0.168105
1.92	-0.0388246	-0.0496725	-0.174372	-0.02039	-0.0514898	-0.00918576
2.3	0.114108	0.0546601	-0.140616	0.111552	0.00512848	0.091406
1.67	-0.269331	-0.265867	-0.348546	-0.225393	-0.257436	-0.292794
1.0	0.195804	0.215046	0.0545677	0.183324	0.214897	0.230064
1.25	-0.00591879	-0.0676531	-0.163592	-0.017787	-0.0602849	0.0364726
2.64	-0.351202	-0.270093	-0.430257	-0.209235	-0.228794	-0.194504
1.52	-0.12802	-0.115183	-0.263501	-0.0930164	-0.192873	-0.0648538
