annotation	a	b	c	d	odds_ratio	p_value
ABC_ENCODE_E2G_2022.ABC_DNaseH3K27ac_KID	20	188	1942	28395	1.555481298069549	0.06462647393882966
cCREv4_Human_CellType.KID_PLS	3	205	257	30080	1.7128214861915156	0.2610101631258195
GTEx_Flagship.GTEx_Finemap_PIP_10_kidney	0	208	26	30311	0.0	1.0
GTEx_Flagship.GTEx_Finemap_PIP_50_kidney	0	208	11	30326	0.0	1.0
