annotation	a	b	c	d	odds_ratio	p_value
ABC_ENCODE_E2G_2022.ABC_DNaseH3K27ac_LNG	26	92	1654	18045	3.0832369486357183	4.913179471500271e-06
cCREv4_Human_CellType.LNG_dELS	19	99	715	18984	5.095655859292223	6.67760854846418e-08
cCREv4_Human_CellType.LNG_pELS	9	109	362	19337	4.4105884738202645	0.0003816409083707329
cCREv4_Human_CellType.LNG_PLS	2	116	222	19477	1.512659210935073	0.3861113675805981
GTEx_Flagship.GTEx_Finemap_PIP_50_lung	1	117	60	19639	2.7975783475783476	0.3057085871168739
GTEx_Flagship.GTEx_Finemap_PIP_10_lung	1	117	214	19485	0.7782171099928109	1.0
