annotation	beta	odds_ratio_per_SD	p_value
ADASTRA2021_BillCipher.ADASTRA_UseAvgOnNonTested_kidney	0.07069272292988096	1.073251389652886	0.17297076743574546
Enformer.Enformer_kidney_DNASE	0.1954273795868466	1.2158304966031281	1.0242407792303344e-16
Enformer.Enformer_kidney_all	0.2214062247918825	1.2478302271947646	9.371118621825466e-19
Enformer.Enformer_kidney_CAGE	0.1407169033062415	1.1510987296091715	1.3103946657711474e-11
Enformer.Enformer_kidney_CHIP	0.2147191100946835	1.2395136811826564	9.827687618402721e-18
Vierstra2023.rsids_FDR20_Kidney	0.12338766001676725	1.1313229046068758	6.134463019694422e-05
Vierstra2023.rsids_Nominal_Kidney	0.2054195712080428	1.2280402071994552	3.500075029036e-08
